model,corpus,partition,side,band,policy,tiles,mean_kappa,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
mistral7b,c4,2,rejected,2,boundary_part02_rejected_band02,978,2.6104150120695118,8.064811893084235,-0.00032209910787088216,-0.0009261890184141188,0.00028458508327169717,-0.0003220472395223023
mistral7b,c4,2,rejected,3,boundary_part02_rejected_band03,978,2.4487336244750955,8.070371777534788,0.0003670637531308252,-0.00034902692327159985,0.001071029251237369,0.00036713112927378426
mistral7b,c4,2,rejected,4,boundary_part02_rejected_band04,978,2.3227779685481327,8.065615176306917,-0.00022250060128714224,-0.0008827776695583282,0.000433303250915138,-0.0002224758498641252
mistral7b,c4,3,selected,1,boundary_part03_selected_band01,978,6.128703276005916,8.061013834044447,-0.000793152085162036,-0.0014197561955180263,-0.00017225379742994608,-0.000792837623191155
mistral7b,c4,3,selected,2,boundary_part03_selected_band02,978,4.4619574610066755,8.065495854319458,-0.00023729462102013138,-0.0009164662257102025,0.00042394676673747974,-0.0002372664688783768
mistral7b,c4,3,selected,3,boundary_part03_selected_band03,978,3.689874968517241,8.066388837477922,-0.00012658428847975032,-0.0007929595272062656,0.000525780129178304,-0.0001265762770267503
mistral7b,c4,3,selected,4,boundary_part03_selected_band04,978,3.19092567713318,8.06035149914089,-0.0008753206720324276,-0.0017029162566395758,-0.00012445434502394257,-0.0008749376906449762
mistral7b,c4,3,rejected,1,boundary_part03_rejected_band01,978,2.8444466097334855,8.066881379145034,-6.552516523184831e-05,-0.0007293398330500132,0.0005616837405278525,-6.552301850509744e-05
mistral7b,c4,3,rejected,2,boundary_part03_rejected_band02,978,2.6104150120695118,8.064811893084235,-0.00032209910787088216,-0.0009295263093861885,0.00028262511423669714,-0.0003220472395223023
mistral7b,c4,3,rejected,3,boundary_part03_rejected_band03,978,2.4487336244750955,8.070371777534788,0.0003670637531308252,-0.0003490183005825037,0.0010818360284684835,0.00036713112927378426
