model,draw,N,module,objective,backend_status,exact_parent_SE,eligible_weights,eligible_parents,ownership_regret,sum_abs_child_mean,weighted_cancellation,unweighted_cancellation_mean,zero_score_parents,minority_sign_fraction,mean_favorable_parents,selector_gap,threshold_increment,veto_increment,total_surrogate_gap,selected_tiles,selected_weights,mean_favorable_threshold_fail,mean_favorable_threshold_fail_fraction
llama8b,seed0,8,model.layers.6.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.008168968031465954,0.0,0.0,0,0.0,4143,0.004158372086529485,0.0040346125306859465,0.00012375955584353893,0.004158372086529485,2,1024,4107,0.9913106444605359
llama8b,seed0,8,model.layers.6.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.026422350799023955,0.0,0.0,0,0.0,16448,0.013273006574913121,0.013087331334866031,0.00018567524004708957,0.013273006574913121,20,10240,16365,0.994953793774319
llama8b,seed0,8,model.layers.6.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.018805759261323635,0.0,0.0,0,0.0,16441,0.009462513278403778,0.009247452448057775,0.00021506083034600332,0.009462513278403778,20,10240,16313,0.9922145854875007
llama8b,seed0,8,model.layers.6.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.05399544585285318,0.0,0.0,0,0.0,57708,0.027272156997516978,0.02702264591272699,0.0002495110847899884,0.027272156997516978,6,3072,57557,0.9973833783877452
llama8b,seed0,8,model.layers.6.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.03916263754432568,0.0,0.0,0,0.0,57994,0.019852938574926135,0.019724614574694085,0.0001283240002320496,0.019852938574926135,6,3072,57885,0.9981204952236439
llama8b,seed0,8,model.layers.6.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.06646769565112048,0.0,0.0,0,0.0,57779,0.03354887913236404,0.0331972610835608,0.0003516180488032372,0.03354887913236404,21,10752,57595,0.9968154519808234
llama8b,seed0,8,model.layers.6.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.04742896647150836,0.0,0.0,0,0.0,57797,0.024012736922345873,0.023768171192227044,0.00024456573011882865,0.024012736922345873,21,10752,57634,0.9971797844178764
llama8b,seed0,8,model.layers.6.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.06955145237795637,0.0,0.0,0,0.0,57873,0.035090870453401674,0.034739155099851066,0.0003517153535506079,0.035090870453401674,19,9728,57698,0.9969761374043163
llama8b,seed0,8,model.layers.6.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.04972137166169446,0.0,0.0,0,0.0,57920,0.025103365745869688,0.024903460483770345,0.00019990526209934245,0.025103365745869688,19,9728,57775,0.997496546961326
llama8b,seed0,8,model.layers.7.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.014883887859949985,0.0,0.0,0,0.0,16477,0.007553696179591826,0.007483245996842927,7.045018274889903e-05,0.007553696179591826,4,2048,16432,0.9972689203131638
